Site	Bird_diversity	Tree_diversity	Lon_x	Lat_y
1	7.181452	4.12	-118.454167	33.67511
2	7.540323	6.12	-117.426389	34.099444
3	4.891129	4.1	-118.209722	34.010278
4	4.149194	4.8	-117.9125	33.823611
5	5.899194	3.8	-118.1334	33.92357
6	4.717742	3.7	-118.315278	33.714555
7	3.157258	4.07	-118.534722	33.67401
8	4.052885	5	-118.37085	33.708333
9	7.266129	4.2	-117.751389	34.050833
10	6.532258	4.9	-118.106944	33.925
11	5.201613	4	-117.951389	33.929167
12	4.737903	4.8	-118.1875	33.85
13	4.358871	4.32	-118.059722	33.926111
14	7.225806	3.78	-117.629167	34.066944
15	4.300806	4.74	-118.534722	33.6275
16	8.241935	6.8	-117.188543	34.199444
17	6.076613	5.12	-117.9269	33.97562
18	4.600806	5.2	-117.923611	33.9846
19	8.149194	5.34	-116.876389	34.262276
20	8.524194	5.8	-117.690278	34.066667
21	8.604839	5.32	-117.33263	34.103611
22	8.794355	6.12	-116.233894	34.69012
23	9.762097	6.84	-117.151389	34.243889
24	7.858871	5.76	-117.504167	34.083333
25	9.947581	6.37	-117.273611	34.135833
26	11.649194	3.74	-117.243056	34.176111
27	8.899194	5.9	-117.273611	34.143889
28	4.447917	4.1	-118.226389	33.820278
29	10.274194	5.4	-116.543056	34.3875
30	7.16129	5.43	-117.851389	34.015
31	8.241935	5.34	-117.32114	34.107222
32	8.133065	5.9	-117.512733	34.067222
33	8.481452	5.42	-118.354167	33.77511
34	8.840323	7.42	-117.326389	34.199444
35	6.191129	5.4	-118.109722	34.110278
36	5.449194	6.1	-117.8125	33.923611
37	7.199194	5.1	-118.0334	34.02357
38	6.017742	5	-118.215278	33.814555
39	4.457258	5.37	-118.434722	33.77401
40	5.352885	6.3	-118.27085	33.808333
41	8.566129	5.5	-117.651389	34.150833
42	7.832258	6.2	-118.006944	34.025
43	6.501613	5.3	-117.851389	34.029167
44	6.037903	6.1	-118.0875	33.95
45	5.658871	5.62	-117.959722	34.026111
46	8.525806	5.08	-117.529167	34.166944
47	5.600806	6.04	-118.434722	33.7275
48	9.541935	8.1	-117.088543	34.299444
49	7.376613	6.42	-117.8269	34.07562
50	5.900806	6.5	-117.823611	34.0846
51	9.449194	6.64	-116.776389	34.362276
52	9.824194	7.1	-117.590278	34.166667
53	9.904839	6.62	-117.23263	34.203611
54	10.094355	7.42	-116.133894	34.79012
55	11.062097	8.14	-117.051389	34.343889
56	9.158871	7.06	-117.404167	34.183333
57	11.247581	7.67	-117.173611	34.235833
58	12.949194	5.04	-117.143056	34.276111
59	10.199194	7.2	-117.173611	34.243889
60	5.747917	5.4	-118.126389	33.920278
61	11.574194	6.7	-116.443056	34.4875
62	8.46129	6.73	-117.751389	34.115
63	9.541935	6.64	-117.22114	34.207222
64	9.433065	7.2	-117.412733	34.167222
